fault_group,variable,fault_mean,fault_std,fault_min,fault_max,normal_mean,normal_std,mean_shift,mean_shift_sigma,n_outlier_3sigma,pct_outlier_3sigma,n_outlier_iqr,pct_outlier_iqr,pre_cause_mean,post_cause_mean,pre_post_shift,n_fault_samples
coolant,Spd_ActPos_C,168.89845933734938,107.32807956000381,0.0,359.938,168.72116332824658,107.05682978057855,0.17729600910280396,0.0016560924647780115,0,0.0,0,0.0,154.14755043586553,178.86059545836838,24.713045022502854,1992
coolant,Spd_ActSpeed_C,-278732.95755052794,137897.64431889198,-450491.4,50623.063,-134060.24285879757,103872.74249298131,-144672.71469173036,-1.3927880521832352,1,0.08,29,2.19,-256425.94925383307,-296451.7855209743,-40025.83626714125,1326
coolant,Spd_ActPos_X,123.95582188015393,118.07142147730504,-1.271,612.124,114.79127838152174,129.72166953409723,9.164543498632199,0.07064774552732875,63,3.46,162,8.91,150.1548752969121,101.37690378710337,-48.77797150980874,1819
coolant,Spd_ActSpeed_X,-223.49875626269468,5738.093227712632,-36000.0,36000.0,-22.82695921816927,6229.088476080727,-200.67179704452542,-0.032215274805469235,43,2.91,503,34.06,-406.63511605723374,-87.65822523584907,318.9768908213847,1477
coolant,Spd_ActPos_Z,383.66621079839166,71.90752373681583,244.786,495.0,338.29335378866983,97.11137469320344,45.37285700972183,0.46722494818982957,0,0.0,0,0.0,403.42171484375,355.4519344490934,-47.969780394656595,1741
coolant,Spd_ActSpeed_Z,281.33717720588237,6497.148441333924,-36000.0,36000.0,66.62950388164457,5915.11077934925,214.70767332423782,0.03629816605866766,57,4.19,368,27.06,176.4190909090909,409.5703937908496,233.1513028817587,1360
coolant,Prog_CuttingTime,129471.64982498682,2487.484190501785,126121.084,133538.02,7705599.618208264,1538669.1926387213,-7576127.968383277,-4.9238185859760355,1897,100.0,1897,100.0,129327.09248387096,129610.67601654603,283.58353267506754,1897
coolant,Prog_CycleTime,50.96343849493488,40.574366180503,0.004,169.95,11250.81105344125,15157.153326374619,-11199.847614946315,-0.7389149778842469,0,0.0,0,0.0,33.487212152959664,65.87721412606169,32.390001973102024,4146
coolant,M_PowerOnDuration,283.13138686131384,201.56163381592185,20.0,592.0,15496.263335837715,23423.865925097318,-15213.131948976401,-0.6494714406931584,0,0.0,0,0.0,282.5285714285714,283.76119402985074,1.2326226012793313,137
coolant,Prog_LineNo,273.2817932296432,187.17334267547884,-2.0,782.0,347.3669167441243,355.9260477443699,-74.0851235144811,-0.20814751823858943,0,0.0,0,0.0,195.2262172284644,395.73090481786136,200.50468758939695,2186
hydraulics,Spd_ActPos_C,167.68305783224818,107.38255853944135,0.0,359.918,168.72116332824658,107.05682978057855,-1.0381054959983942,-0.00969677038004118,0,0.0,0,0.0,156.9018377760853,178.5888682588598,21.687030482774503,2611
hydraulics,Spd_ActSpeed_C,-284432.04201397946,134097.13398411183,-450492.9,73743.105,-134060.24285879757,103872.74249298131,-150371.79915518188,-1.4476540769619362,4,0.19,46,2.14,-257979.59818200837,-305682.9128571428,-47703.31467513443,2146
hydraulics,Spd_ActPos_X,110.52061761794788,107.90734822376493,-1.271,612.124,114.79127838152174,129.72166953409723,-4.270660763573858,-0.03292172216799928,78,2.57,189,6.24,141.0535038650738,83.50053233830846,-57.55297152676533,3031
hydraulics,Spd_ActSpeed_X,-198.74502718912433,5892.096781315369,-36000.0,36000.0,-22.82695921816927,6229.088476080727,-175.91806797095506,-0.028241382129418385,78,3.12,820,32.79,-185.04343582640814,-209.20964174894218,-24.166205922534033,2501
hydraulics,Spd_ActPos_Z,381.2619258397074,70.50693374771244,216.806,495.0,338.29335378866983,97.11137469320344,42.96857205103754,0.4424669322902762,0,0.0,0,0.0,402.2355408467502,354.8162473684211,-47.41929347832911,3007
hydraulics,Spd_ActSpeed_Z,201.84514650481373,6377.042078919933,-36000.0,36000.0,66.62950388164457,5915.11077934925,135.21564262316917,0.022859359303164666,93,3.89,619,25.91,231.3352100082035,171.12002905982908,-60.21518094837441,2389
hydraulics,Prog_CuttingTime,131833.22653732245,8772.888421789694,121836.348,142657.904,7705599.618208264,1538669.1926387213,-7573766.391670941,-4.922283768275367,3309,100.0,3309,100.0,132161.6760779055,131538.13073666094,-623.5453412445495,3309
hydraulics,Prog_CycleTime,58.06152309142318,38.5911492912005,0.002,161.522,11250.81105344125,15157.153326374619,-11192.749530349827,-0.7384466785642066,0,0.0,0,0.0,37.38323398776955,87.29147952684256,49.908245539073015,5305
hydraulics,M_PowerOnDuration,76.92441860465117,65.54432272089664,1.0,241.0,15496.263335837715,23423.865925097318,-15419.338917233064,-0.6582747257237359,0,0.0,0,0.0,75.25454545454545,79.88709677419355,4.632551319648101,172
hydraulics,Prog_LineNo,288.87223311852057,191.897032825277,-2.0,714.0,347.3669167441243,355.9260477443699,-58.49468362560373,-0.16434504863099775,0,0.0,0,0.0,205.26303645592986,418.1027104136947,212.83967395776483,3569
hydraulics,Hyd_Pressure,6230.030581039755,3911.0082347022535,-91.0,17273.0,0.0,0.0,6230.030581039755,62300305810397.55,327,100.0,327,100.0,10727.3,5937.048859934854,-4790.251140065146,327
